name,time,CO2Concentration,Co2Concentration,deviceId,distance,environmentHumidity,environmentPressure,environmentTemperature,internalTemperature,nonContactWaterLevel,potentialOfHydrogen,totalDissolvedSolids,totalOrganicCompounds,waterFlow,waterTemperature
data_yaku,1629358348038000000,,-1,ESP32_473938,22,46.014,88427.141,23.83,45,0,6.356,1379.98,-1,0,21.312
data_yaku,1629358407702000000,,-1,ESP32_473938,22,46.014,88428.188,23.83,45,0,6.291,1379.98,-1,0,21.312
data_yaku,1629358467351000000,,-1,ESP32_473938,22,46.015,88428.547,23.83,44.444,0,6.334,1379.98,-1,0,21.375
data_yaku,1629358527969000000,,-1,ESP32_473938,22,46.025,88431.953,23.83,44.444,0,6.356,1379.98,-1,0,21.375
data_yaku,1629358587630000000,,-1,ESP32_473938,22,46.015,88434.398,23.84,53.333,0,6.291,1379.98,-1,0,21.312
data_yaku,1629358648270000000,,-1,ESP32_473938,22,46.034,88429.547,23.83,44.444,0,6.334,1379.98,-1,0,21.312
data_yaku,1629358707889000000,,-1,ESP32_473938,22,46.053,88435.938,23.82,45,0,6.334,1379.98,-1,0,21.312
data_yaku,1629358767529000000,,-1,ESP32_473938,22,46.085,88436.68,23.83,53.333,0,6.312,1379.98,-1,0,21.312
data_yaku,1629358828171000000,,-1,ESP32_473938,22,46.103,88434.766,23.8,53.333,0,6.334,1379.98,-1,0,21.312
data_yaku,1629358887778000000,,-1,ESP32_473938,22,46.092,88430.984,23.79,44.444,0,6.334,1379.98,-1,0,21.312
data_yaku,1629358947422000000,,-1,ESP32_473938,22,46.03,88434.984,23.78,45,0,6.377,1379.98,-1,0,21.312
data_yaku,1629359008050000000,,-1,ESP32_473938,22,46.06,88440.711,23.78,53.333,0,6.312,1379.98,-1,0,21.312
data_yaku,1629359067689000000,,-1,ESP32_473938,22,46.078,88438.969,23.77,53.333,0,6.334,1379.98,-1,0,21.312
data_yaku,1629359127311000000,,-1,ESP32_473938,22,46.058,88442.742,23.77,53.333,0,6.291,1379.98,-1,0,21.312
data_yaku,1629359187950000000,,-1,ESP32_473938,22,46.058,88444.062,23.77,44.444,0,6.356,1379.98,-1,0,21.312
data_yaku,1629359247595000000,,-1,ESP32_473938,22,46.107,88441.25,23.76,53.333,0,6.312,1379.98,-1,0,21.188
data_yaku,1629359308222000000,,-1,ESP32_473938,22,46.146,88444.547,23.74,44.444,0,6.247,1379.98,-1,0,20.875
data_yaku,1629359367858000000,,-1,ESP32_473938,22,46.186,88446.234,23.74,53.333,0,6.226,1379.98,-1,0,21
data_yaku,1629359427510000000,,-1,ESP32_473938,22,46.146,88443.875,23.74,53.333,0,6.291,1379.98,-1,0,21.125
data_yaku,1629359488118000000,,-1,ESP32_473938,22,46.155,88447.875,23.73,53.333,0,6.312,1379.98,-1,0,21.062
data_yaku,1629359547763000000,,-1,ESP32_473938,22,46.136,88448.961,23.74,53.333,0,6.356,1379.98,-1,0,21.062
data_yaku,1629359607430000000,,-1,ESP32_473938,22,46.146,88447.914,23.74,45,0,6.312,1379.98,-1,0,21.125
data_yaku,1629359668039000000,,-1,ESP32_473938,22,46.003,88451.586,23.72,53.333,0,6.356,1379.98,-1,0,21.188
data_yaku,1629359727683000000,,-1,ESP32_473938,22,45.882,88442.688,23.72,53.333,0,6.334,1379.98,-1,0,21.188
data_yaku,1629359787330000000,,-1,ESP32_473938,22,45.872,88443.742,23.73,53.333,0,6.334,1379.98,-1,0,21.188
data_yaku,1629359847981000000,,-1,ESP32_473938,22,45.982,88439.234,23.71,53.333,0,6.356,1379.98,-1,0,21.188
data_yaku,1629359907630000000,,-1,ESP32_473938,22,46.073,88432.422,23.71,44.444,0,6.356,1379.98,-1,0,21.188
data_yaku,1629359968261000000,,-1,ESP32_473938,22,46.151,88432.273,23.69,44.444,0,6.291,1379.98,-1,0,21.25
data_yaku,1629360027887000000,,-1,ESP32_473938,22,46.242,88430.273,23.7,53.333,0,6.356,1379.98,-1,0,21.188
data_yaku,1629360087520000000,,-1,ESP32_473938,22,46.242,88433.273,23.69,44.444,0,6.356,1379.98,-1,0,21.188
data_yaku,1629360148158000000,,-1,ESP32_473938,22,46.251,88433.547,23.68,44.444,0,6.312,1379.98,-1,0,21.188
data_yaku,1629360207782000000,,-1,ESP32_473938,22,46.25,88434.859,23.67,53.333,0,6.291,1379.98,-1,0,21.25
data_yaku,1629360285517000000,,-1,ESP32_473938,22,46.32,88434.812,23.67,53.333,0,6.334,1379.98,-1,0,21.188
data_yaku,1629360303151000000,,-1,ESP32_473938,22,46.273,88432.695,23.71,44.444,0,6.334,1379.98,-1,0,21.188
data_yaku,1629360363789000000,,-1,ESP32_473938,22,46.342,88433.547,23.68,53.333,0,6.269,1379.98,-1,0,21.188
data_yaku,1629360423421000000,,-1,ESP32_473938,22,46.381,88437.531,23.67,44.444,0,6.356,1379.98,-1,0,21.188
data_yaku,1629360483069000000,,-1,ESP32_473938,22,46.318,88429.938,23.65,53.333,0,6.356,1379.98,-1,0,21.188
data_yaku,1629360543690000000,,-1,ESP32_473938,22,46.268,88429.938,23.65,44.444,0,6.356,1379.98,-1,0,21.188
data_yaku,1629360603308000000,,-1,ESP32_473938,22,46.075,88429.484,23.64,44.444,0,6.334,1379.98,-1,0,21.188
data_yaku,1629360663942000000,,-1,ESP32_473938,22,46.056,88427.125,23.64,44.444,0,6.356,1379.98,-1,0,21.188
data_yaku,1629360723589000000,,-1,ESP32_473938,22,46.045,88430.172,23.64,53.333,0,6.312,1379.98,-1,0,21.188
